OBJECTID,ctyua17cd,ctyua17nm,Shape_Leng,Shape_Area,AdultCount,AdultWeekl,AWSD,AWSDCat,AdultMonth,AMSD,AMSDCat,AdultINever,ANSD,ANSDCat,AdultInfreq,AISD,AISDCat,ChildCount,ChildWeekl,ChildMonth,ChildNever
99,E10000018,Leicestershire,365297.1687,2083789221,1185,0.556007624,-0.131607932,<0,0.740941977,-0.31496296,<0,0.103567536,0.255284667,>0,0.155490487,0.263324169,>0,309,0.724303864,0.788695738,0.211304262
143,E09000023,Lewisham,40177.23914,35188851.37,725,0.484524514,-0.913270203,<0,0.656689802,-1.47154896,< 1,0.164175197,1.647668122,>1,0.179135001,0.789555347,>0,246,0.681123194,0.779851583,0.220148417
100,E10000019,Lincolnshire,707951.522,5936980490,1462,0.466258096,-1.113012069,< 1,0.749000662,-0.204335997,<0,0.059576994,-0.755341743,<0,0.191422344,1.063021868,>1,247,0.708001316,0.800450981,0.199549019
80,E08000012,Liverpool,61271.9042,111821887.3,1036,0.534790366,-0.363617005,<0,0.726035078,-0.51959994,<0,0.105420131,0.297845666,>0,0.168544792,0.55386016,>0,248,0.644885071,0.80116586,0.19883414
7,E06000032,Luton,34269.12848,43359037.99,352,0.546199516,-0.238858833,<0,0.744351758,-0.268154614,<0,0.097877029,0.12455255,>0,0.157771212,0.314083876,>0,100,0.685481618,0.748046901,0.251953099
67,E08000003,Manchester,83879.05771,115595841.7,958,0.506652746,-0.6712997,<0,0.728251808,-0.489169404,<0,0.119450519,0.620175876,>0,0.152297673,0.192265053,>0,292,0.55575915,0.666558395,0.333441605
39,E06000035,Medway,180051.2752,193485251.5,846,0.536475495,-0.34519025,<0,0.780302925,0.225371119,>0,0.061927905,-0.701332571,<0,0.157769171,0.314038452,>0,234,0.570005801,0.766056616,0.233943384
144,E09000024,Merton,31735.6353,37628562.96,243,0.490684602,-0.845910118,<0,0.747862042,-0.219966596,<0,0.10560829,0.302168378,>0,0.146529667,0.063892586,>0,77,0.709450047,0.773162731,0.226837269
2,E06000002,Middlesbrough,42085.58481,53878997.02,326,0.60834079,0.440651186,>0,0.760734316,-0.043260275,<0,0.137433439,1.033310452,>1,0.101832245,-0.930891111,<0,108,0.683519729,0.722453758,0.277546242
46,E06000042,Milton Keynes,100962.3229,308649080.2,458,0.648151767,0.875981136,>0,0.847816442,1.152174356,>1,0.041355997,-1.173945833,< 1,0.110827561,-0.730691786,<0,114,0.738397267,0.852442637,0.147557363
102,E08000021,Newcastle upon Tyne,64379.22207,113439029.8,609,0.577824585,0.106958847,>0,0.769994603,0.083861883,>0,0.09497297,0.057835511,>0,0.135032427,-0.191989441,<0,174,0.59048902,0.773979452,0.226020548
145,E09000025,Newham,34001.59,36200915.21,1199,0.308413713,-2.839028173,< 2,0.591419857,-2.367553182,< 2,0.175419417,1.905989687,>1,0.233160726,1.991949312,>1,594,0.455653312,0.796086464,0.203913536
104,E10000020,Norfolk,935057.3199,5381391030,1130,0.568603754,0.006129774,>0,0.777332968,0.184600531,>0,0.061846609,-0.703200243,<0,0.160820423,0.381946971,>0,225,0.730930592,0.824771314,0.175228686
14,E06000012,North East Lincolnshire,85106.706,191914627.3,328,0.617404874,0.539766242,>0,0.803252667,0.540417589,>0,0.068107934,-0.559354313,<0,0.128639399,-0.334272367,<0,48,0.794605207,0.917165309,0.082834691
17,E06000013,North Lincolnshire,237750.4356,846320971.9,115,,,,,,,,,,,,,28,,,
29,E06000024,North Somerset,148427.0032,374629904.3,114,0.635658588,0.739369191,>0,0.90568693,1.94660128,>1,0.016770428,-1.738767819,< 1,0.077542641,-1.471479381,< 1,27,0.851109817,0.937935713,0.062064287
82,E08000022,North Tyneside,62912.36989,82296262.55,301,0.733998315,1.81470649,>1,0.889681096,1.726878483,>1,0.056922453,-0.816326426,<0,0.053396451,-2.008875837,< 2,75,0.896875717,0.918261353,0.081738647
108,E10000023,North Yorkshire,859928.8594,8040415789,1732,0.699039195,1.43243122,>1,0.848055302,1.155453347,>1,0.066046125,-0.606721737,<0,0.085898572,-1.285510179,< 1,381,0.757763294,0.80652209,0.19347791
105,E10000021,Northamptonshire,367425.6946,2367051198,1389,0.582138368,0.15412973,>0,0.785268019,0.293530288,>0,0.046810296,-1.048640293,< 1,0.167921685,0.53999232,>0,346,0.656814646,0.787365821,0.212634179
